Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2016,1.577367205," (adjusted for inflation, 2024 dollars)",2016,,$1.6M,$9.8B,,$9791.6B,1.577367205,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2017,1.088516392," (adjusted for inflation, 2024 dollars)",2017,,$1.1M,$10.9B,,$10881.9B,1.088516392,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2018,1.073957884," (adjusted for inflation, 2024 dollars)",2018,,$1.1M,$12.2B,,$12165.2B,1.073957884,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2019,0.531658287," (adjusted for inflation, 2024 dollars)",2019,,$0.5M,$13.6B,,$13639.5B,0.531658287,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2020,0.286856226," (adjusted for inflation, 2024 dollars)",2020,,$0.3M,$14.7B,,$14748.9B,0.286856226,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2021,0.244481082," (adjusted for inflation, 2024 dollars)",2021,,$0.2M,$17.4B,,$17391.8B,0.244481082,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SACD,Value (Adjusted),2022,0.207608942," (adjusted for inflation, 2024 dollars)",2022,,$0.2M,$17.0B,,$17035.5B,0.207608942,2022
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2004,11.458200635," (adjusted for inflation, 2024 dollars)",2004,,$11.5M,$20.5B,,$20500.4B,11.458200635,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2005,32.766285714," (adjusted for inflation, 2024 dollars)",2005,,$32.8M,$19.7B,,$19739.9B,32.766285714,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2006,51.036702381," (adjusted for inflation, 2024 dollars)",2006,,$51.0M,$18.3B,,$18297.7B,51.036702381,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2007,54.767204908," (adjusted for inflation, 2024 dollars)",2007,,$54.8M,$16.1B,,$16113.8B,54.767204908,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2008,145.696530007," (adjusted for inflation, 2024 dollars)",2008,,$145.7M,$12.8B,,$12787.5B,145.696530007,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2009,227.367025268," (adjusted for inflation, 2024 dollars)",2009,,$227.4M,$11.5B,,$11450.2B,227.367025268,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2010,358.491849800," (adjusted for inflation, 2024 dollars)",2010,,$358.5M,$10.1B,,$10089.8B,358.491849800,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2011,407.209012221," (adjusted for inflation, 2024 dollars)",2011,,$407.2M,$10.0B,,$9951.0B,407.209012221,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2012,631.219970905," (adjusted for inflation, 2024 dollars)",2012,,$631.2M,$9.6B,,$9585.4B,631.219970905,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2013,795.005024962," (adjusted for inflation, 2024 dollars)",2013,,$795.0M,$9.5B,,$9473.1B,795.005024962,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2014,1024.800083637," (adjusted for inflation, 2024 dollars)",2014,$1.0B,,$8.9B,,$8870.9B,1024.800083637,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2015,1062.230942928," (adjusted for inflation, 2024 dollars)",2015,$1.1B,,$8.9B,,$8881.7B,1062.230942928,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2016,1155.256751261," (adjusted for inflation, 2024 dollars)",2016,$1.2B,,$9.8B,,$9791.6B,1155.256751261,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2017,834.388169060," (adjusted for inflation, 2024 dollars)",2017,,$834.4M,$10.9B,,$10881.9B,834.388169060,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2018,1190.261040911," (adjusted for inflation, 2024 dollars)",2018,$1.2B,,$12.2B,,$12165.2B,1190.261040911,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2019,1114.353801382," (adjusted for inflation, 2024 dollars)",2019,$1.1B,,$13.6B,,$13639.5B,1114.353801382,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2020,1148.285654783," (adjusted for inflation, 2024 dollars)",2020,$1.1B,,$14.7B,,$14748.9B,1148.285654783,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2021,1148.969747574," (adjusted for inflation, 2024 dollars)",2021,$1.1B,,$17.4B,,$17391.8B,1148.969747574,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2022,1028.354979754," (adjusted for inflation, 2024 dollars)",2022,$1.0B,,$17.0B,,$17035.5B,1028.354979754,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2023,1034.435964319," (adjusted for inflation, 2024 dollars)",2023,$1.0B,,$17.6B,,$17611.4B,1034.435964319,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",SoundExchange Distributions,Value (Adjusted),2024,1054," (adjusted for inflation, 2024 dollars)",2024,$1.1B,,$17.7B,,$17674.6B,1054,2024
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2009,294.188073852," (adjusted for inflation, 2024 dollars)",2009,,$294.2M,$11.5B,,$11450.2B,294.188073852,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2010,271.458314837," (adjusted for inflation, 2024 dollars)",2010,,$271.5M,$10.1B,,$10089.8B,271.458314837,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2011,274.029352402," (adjusted for inflation, 2024 dollars)",2011,,$274.0M,$10.0B,,$9951.0B,274.029352402,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2012,260.409324899," (adjusted for inflation, 2024 dollars)",2012,,$260.4M,$9.6B,,$9585.4B,260.409324899,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2013,255.413453865," (adjusted for inflation, 2024 dollars)",2013,,$255.4M,$9.5B,,$9473.1B,255.413453865,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2014,251.380915079," (adjusted for inflation, 2024 dollars)",2014,,$251.4M,$8.9B,,$8870.9B,251.380915079,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2015,268.581756084," (adjusted for inflation, 2024 dollars)",2015,,$268.6M,$8.9B,,$8881.7B,268.581756084,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2016,280.794408962," (adjusted for inflation, 2024 dollars)",2016,,$280.8M,$9.8B,,$9791.6B,280.794408962,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2017,297.009584211," (adjusted for inflation, 2024 dollars)",2017,,$297.0M,$10.9B,,$10881.9B,297.009584211,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2018,356.670429677," (adjusted for inflation, 2024 dollars)",2018,,$356.7M,$12.2B,,$12165.2B,356.670429677,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2019,344.922974797," (adjusted for inflation, 2024 dollars)",2019,,$344.9M,$13.6B,,$13639.5B,344.922974797,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2020,321.476431034," (adjusted for inflation, 2024 dollars)",2020,,$321.5M,$14.7B,,$14748.9B,321.476431034,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2021,354.850665823," (adjusted for inflation, 2024 dollars)",2021,,$354.9M,$17.4B,,$17391.8B,354.850665823,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2022,409.992204711," (adjusted for inflation, 2024 dollars)",2022,,$410.0M,$17.0B,,$17035.5B,409.992204711,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2023,414.330668835," (adjusted for inflation, 2024 dollars)",2023,,$414.3M,$17.6B,,$17611.4B,414.330668835,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Synchronization,Value (Adjusted),2024,412.632725533," (adjusted for inflation, 2024 dollars)",2024,,$412.6M,$17.7B,,$17674.6B,412.632725533,2024
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1973,1342.362837838," (adjusted for inflation, 2024 dollars)",1973,$1.3B,,$14.2B,,$14247.4B,1342.362837838,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1974,1234.394847870," (adjusted for inflation, 2024 dollars)",1974,$1.2B,,$14.0B,,$13996.4B,1234.394847870,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1975,1233.182592937," (adjusted for inflation, 2024 dollars)",1975,$1.2B,,$13.9B,,$13926.5B,1233.182592937,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1976,1351.233284710," (adjusted for inflation, 2024 dollars)",1976,$1.4B,,$15.1B,,$15089.6B,1351.233284710,1976
1977,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1977,1268.732242574," (adjusted for inflation, 2024 dollars)",1977,$1.3B,,$18.1B,,$18121.5B,1268.732242574,1977
1978,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1978,1252.350409509," (adjusted for inflation, 2024 dollars)",1978,$1.3B,,$19.9B,,$19876.9B,1252.350409509,1978
1979,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1979,1527.829619835," (adjusted for inflation, 2024 dollars)",1979,$1.5B,,$15.9B,,$15881.0B,1527.829619835,1979
1980,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1980,951.726334951," (adjusted for inflation, 2024 dollars)",1980,,$951.7M,$14.0B,,$14017.0B,951.726334951,1980
1981,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1981,884.816937294," (adjusted for inflation, 2024 dollars)",1981,,$884.8M,$13.7B,,$13713.6B,884.816937294,1981
1982,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1982,919.937689119," (adjusted for inflation, 2024 dollars)",1982,,$919.9M,$11.8B,,$11795.4B,919.937689119,1982
1983,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1983,848.157105422," (adjusted for inflation, 2024 dollars)",1983,,$848.2M,$11.9B,,$11925.2B,848.157105422,1983
1984,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1984,901.818135707," (adjusted for inflation, 2024 dollars)",1984,,$901.8M,$13.1B,,$13087.1B,901.818135707,1984
1985,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1985,819.206403346," (adjusted for inflation, 2024 dollars)",1985,,$819.2M,$12.7B,,$12718.1B,819.206403346,1985
1986,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1986,652.850920620," (adjusted for inflation, 2024 dollars)",1986,,$652.9M,$13.3B,,$13282.3B,652.850920620,1986
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1987,561.381810739," (adjusted for inflation, 2024 dollars)",1987,,$561.4M,$15.4B,,$15364.1B,561.381810739,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1988,478.355837701," (adjusted for inflation, 2024 dollars)",1988,,$478.4M,$16.6B,,$16585.2B,478.355837701,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1989,294.4629," (adjusted for inflation, 2024 dollars)",1989,,$294.5M,$16.6B,,$16646.3B,294.4629,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1990,226.566500383," (adjusted for inflation, 2024 dollars)",1990,,$226.6M,$18.1B,,$18099.2B,226.566500383,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1991,147.171270925," (adjusted for inflation, 2024 dollars)",1991,,$147.2M,$18.0B,,$18043.3B,147.171270925,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1992,148.460082680," (adjusted for inflation, 2024 dollars)",1992,,$148.5M,$20.2B,,$20176.3B,148.460082680,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1993,111.147936332," (adjusted for inflation, 2024 dollars)",1993,,$111.1M,$21.8B,,$21809.7B,111.147936332,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1994,99.906348178," (adjusted for inflation, 2024 dollars)",1994,,$99.9M,$25.5B,,$25543.9B,99.906348178,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1995,96.123860236," (adjusted for inflation, 2024 dollars)",1995,,$96.1M,$25.4B,,$25359.2B,96.123860236,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1996,94.966395793," (adjusted for inflation, 2024 dollars)",1996,,$95.0M,$25.1B,,$25058.7B,94.966395793,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1997,69.578370093," (adjusted for inflation, 2024 dollars)",1997,,$69.6M,$23.9B,,$23916.2B,69.578370093,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1998,49.458940491," (adjusted for inflation, 2024 dollars)",1998,,$49.5M,$26.4B,,$26386.8B,49.458940491,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),1999,52.532551621," (adjusted for inflation, 2024 dollars)",1999,,$52.5M,$27.5B,,$27461.3B,52.532551621,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2000,47.909527875," (adjusted for inflation, 2024 dollars)",2000,,$47.9M,$26.1B,,$26092.8B,47.909527875,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2001,55.617360813," (adjusted for inflation, 2024 dollars)",2001,,$55.6M,$24.3B,,$24348.0B,55.617360813,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2002,43.417765981," (adjusted for inflation, 2024 dollars)",2002,,$43.4M,$22.0B,,$21998.0B,43.417765981,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2003,36.653877717," (adjusted for inflation, 2024 dollars)",2003,,$36.7M,$20.2B,,$20209.8B,36.653877717,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2004,33.046114876," (adjusted for inflation, 2024 dollars)",2004,,$33.0M,$20.5B,,$20500.4B,33.046114876,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2005,21.201714286," (adjusted for inflation, 2024 dollars)",2005,,$21.2M,$19.7B,,$19739.9B,21.201714286,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2006,15.404370536," (adjusted for inflation, 2024 dollars)",2006,,$15.4M,$18.3B,,$18297.7B,15.404370536,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2007,6.051624852," (adjusted for inflation, 2024 dollars)",2007,,$6.1M,$16.1B,,$16113.8B,6.051624852,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2008,4.225199370," (adjusted for inflation, 2024 dollars)",2008,,$4.2M,$12.8B,,$12787.5B,4.225199370,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2009,3.655418413," (adjusted for inflation, 2024 dollars)",2009,,$3.7M,$11.5B,,$11450.2B,3.655418413,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2010,3.308712899," (adjusted for inflation, 2024 dollars)",2010,,$3.3M,$10.1B,,$10089.8B,3.308712899,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2011,6.414936494," (adjusted for inflation, 2024 dollars)",2011,,$6.4M,$10.0B,,$9951.0B,6.414936494,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2012,6.480328145," (adjusted for inflation, 2024 dollars)",2012,,$6.5M,$9.6B,,$9585.4B,6.480328145,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2013,4.011297471," (adjusted for inflation, 2024 dollars)",2013,,$4.0M,$9.5B,,$9473.1B,4.011297471,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2014,7.286965007," (adjusted for inflation, 2024 dollars)",2014,,$7.3M,$8.9B,,$8870.9B,7.286965007,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2015,7.613961922," (adjusted for inflation, 2024 dollars)",2015,,$7.6M,$8.9B,,$8881.7B,7.613961922,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2016,6.379045323," (adjusted for inflation, 2024 dollars)",2016,,$6.4M,$9.8B,,$9791.6B,6.379045323,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2017,7.778731324," (adjusted for inflation, 2024 dollars)",2017,,$7.8M,$10.9B,,$10881.9B,7.778731324,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2018,7.146314393," (adjusted for inflation, 2024 dollars)",2018,,$7.1M,$12.2B,,$12165.2B,7.146314393,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2019,8.255621308," (adjusted for inflation, 2024 dollars)",2019,,$8.3M,$13.6B,,$13639.5B,8.255621308,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2020,7.656716445," (adjusted for inflation, 2024 dollars)",2020,,$7.7M,$14.7B,,$14748.9B,7.656716445,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2021,9.143986210," (adjusted for inflation, 2024 dollars)",2021,,$9.1M,$17.4B,,$17391.8B,9.143986210,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2022,6.018201271," (adjusted for inflation, 2024 dollars)",2022,,$6.0M,$17.0B,,$17035.5B,6.018201271,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2023,8.615272438," (adjusted for inflation, 2024 dollars)",2023,,$8.6M,$17.6B,,$17611.4B,8.615272438,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Vinyl Single,Value (Adjusted),2024,9.156823257," (adjusted for inflation, 2024 dollars)",2024,,$9.2M,$17.7B,,$17674.6B,9.156823257,2024
